,PortOfEntryDistrict,CountryOfOrigin,ProductCode,DateDiff,Status,Product,SubIndustry,UseCase,ProductState,Source,SeafoodCategory,OriginCity,OriginContinent,SecondaryProcessingOriginCity,ProductType,VesselCheck,StorageCondition,IsSafe
0,Division of Southeast Imports,Japan,16MGD09,1,Passed,OCTOPUS,Other Aquatic Species,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",WildCatch,Other Fish,Incheon,Asia,Ojima,Processed,YES,Contract Sterilizer,No
1,Division of West Coast Imports,Japan,16AGT79,5,Released,YELLOWTAIL,Fish,"Plastic, Synth","Packaged Food (Not Commercially Sterile)",WildCatch,Other Fish,Incheon,Asia,Kagoshima,Processed,YES,Acidified,No
2,Division of Northern Border Imports,Indonesia,16AEE45,5,Passed,TUNA,Fish,Commercially Sterile,"Commercially Sterile",WildCatch,Other Fish,Belem,Asia,Medan,Processed,YES,Acidified,No
3,Division of Northeast Imports,Spain,16AEE33,5,Passed,SARDINES,Fish,Commercially Sterile,"Commercially Sterile",Aquaculture,Other Fish,Vilaboa,Europe,Vilaboa,Frozen,NO,Refrigerated,
4,Division of Northeast Imports,Spain,16RMT01,-1,Passed,SURIMI,Engineered Seafood,Multiple Cntr,"Packaged Food (Not Commercially Sterile)",Aquaculture,Other Fish,Vilaboa,Europe,Vilaboa,Frozen,NO,Refrigerated,
5,Division of Northeast Imports,Spain,16EEI10,0,Passed,COCKLES,Shellfish,Commercially Sterile,"Acidified",WildCatch,Shellfish,Vilaboa,Europe,Vilaboa,Frozen,NO,Frozen,
6,Division of Northeast Imports,Spain,16EET02,-3,Passed,CLAM,Shellfish,Commercially Sterile,"Packaged Food (Not Commercially Sterile)",WildCatch,Shellfish,Vilaboa,Europe,Vilaboa,Frozen,NO,Frozen,
7,Division of Northeast Imports,Spain,16EEE10,0,Passed,COCKLES,Shellfish,Commercially Sterile,"Commercially Sterile",WildCatch,Shellfish,Vilaboa,Europe,Vilaboa,Frozen,NO,Frozen,
8,Division of Northeast Imports,Spain,16AET33,-3,Passed,SARDINES,Fish,Commercially Sterile,"Packaged Food (Not Commercially Sterile)",Aquaculture,Other Fish,Vilaboa,Europe,Vilaboa,Processed,NO,Contract Sterilizer,
9,Division of Southeast Imports,Thailand,16AGN73,5,Passed,MACKEREL,Fish,"Plastic, Synth","Heat Treated",Aquaculture,Other Fish,Muang Satun,Asia,Muang Satun,Frozen,YES,Refrigerated,No
10,Division of Northeast Imports,Thailand,16AGN73,3,Passed,MACKEREL,Fish,"Plastic, Synth","Heat Treated",Aquaculture,Other Fish,Muang Satun,Asia,Muang Satun,Frozen,YES,Refrigerated,No
11,Division of Southeast Imports,Thailand,16AGD73,5,Passed,MACKEREL,Fish,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Muang Satun,Asia,Muang Satun,Frozen,YES,Refrigerated,No
